# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2779294	2780178	-	WP_137458346.1	WP_137458346.1		transglutaminase family protein			EYE35_RS13790	885	294	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2780179	2782563	-							EYE35_RS13795	2385		old_locus_tag=EYE35_13795
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2780179	2782563	-	WP_137458347.1	WP_137458347.1		hypothetical protein			EYE35_RS13795	2385	794	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2782563	2786084	-							EYE35_RS13800	3522		old_locus_tag=EYE35_13800
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2782563	2786084	-	WP_137458625.1	WP_137458625.1		transglutaminase family protein			EYE35_RS13800	3522	1173	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2786118	2787689	-							EYE35_RS13805	1572		old_locus_tag=EYE35_13805
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2786118	2787689	-	WP_137458348.1	WP_137458348.1		multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase			EYE35_RS13805	1572	523	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2787848	2788186	+							EYE35_RS13810	339		old_locus_tag=EYE35_13810
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2787848	2788186	+	WP_069331850.1	WP_069331850.1		DUF952 domain-containing protein			EYE35_RS13810	339	112	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2788183	2789247	+							EYE35_RS13815	1065		old_locus_tag=EYE35_13815
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2788183	2789247	+	WP_137458349.1	WP_137458349.1		quinone-dependent dihydroorotate dehydrogenase			EYE35_RS13815	1065	354	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2789412	2789648	-							EYE35_RS13820	237		old_locus_tag=EYE35_13820
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2789412	2789648	-	WP_069331848.1	WP_069331848.1		Lrp/AsnC family transcriptional regulator			EYE35_RS13820	237	78	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2789835	2791361	-							EYE35_RS13825	1527		old_locus_tag=EYE35_13825
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2789835	2791361	-	WP_137458626.1	WP_137458626.1		ATPase			EYE35_RS13825	1527	508	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2791408	2791581	-							EYE35_RS13830	174		old_locus_tag=EYE35_13830
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2791408	2791581	-	WP_137458350.1	WP_137458350.1		hypothetical protein			EYE35_RS13830	174	57	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2791752	2793044	-					ccrA		EYE35_RS13835	1293		old_locus_tag=EYE35_13835
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2791752	2793044	-	WP_101327470.1	WP_101327470.1		crotonyl-CoA carboxylase/reductase	ccrA		EYE35_RS13835	1293	430	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2793415	2795373	+							EYE35_RS13840	1959		old_locus_tag=EYE35_13840
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2793415	2795373	+	WP_137458351.1	WP_137458351.1		protein meaA			EYE35_RS13840	1959	652	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2795584	2796972	-					lpdA		EYE35_RS13845	1389		old_locus_tag=EYE35_13845
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2795584	2796972	-	WP_137458352.1	WP_137458352.1		dihydrolipoyl dehydrogenase	lpdA		EYE35_RS13845	1389	462	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2797087	2797482	-							EYE35_RS13850	396		old_locus_tag=EYE35_13850
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2797087	2797482	-	WP_137458353.1	WP_137458353.1		MAPEG family protein			EYE35_RS13850	396	131	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2797538	2799067	-					odhB		EYE35_RS13855	1530		old_locus_tag=EYE35_13855
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2797538	2799067	-	WP_137458354.1	WP_137458354.1		2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	odhB		EYE35_RS13855	1530	509	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2799070	2802048	-							EYE35_RS13860	2979		old_locus_tag=EYE35_13860
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2799070	2802048	-	WP_137458355.1	WP_137458355.1		2-oxoglutarate dehydrogenase E1 component			EYE35_RS13860	2979	992	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2802088	2802972	-					sucD		EYE35_RS13865	885		old_locus_tag=EYE35_13865
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2802088	2802972	-	WP_002721254.1	WP_002721254.1		succinate--CoA ligase subunit alpha	sucD		EYE35_RS13865	885	294	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2802977	2804170	-					sucC		EYE35_RS13870	1194		old_locus_tag=EYE35_13870
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2802977	2804170	-	WP_002721255.1	WP_002721255.1		ADP-forming succinate--CoA ligase subunit beta	sucC		EYE35_RS13870	1194	397	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2804400	2805362	-					mdh		EYE35_RS13875	963		old_locus_tag=EYE35_13875
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2804400	2805362	-	WP_069332814.1	WP_069332814.1		malate dehydrogenase	mdh		EYE35_RS13875	963	320	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2805565	2806302	+							EYE35_RS13880	738		old_locus_tag=EYE35_13880
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2805565	2806302	+	WP_112329143.1	WP_112329143.1		sulfite exporter TauE/SafE family protein			EYE35_RS13880	738	245	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2806389	2807246	+							EYE35_RS13885	858		old_locus_tag=EYE35_13885
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2806389	2807246	+	WP_101328465.1	WP_101328465.1		CoA ester lyase			EYE35_RS13885	858	285	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2807255	2807809	+							EYE35_RS13890	555		old_locus_tag=EYE35_13890
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2807255	2807809	+	WP_112329141.1	WP_112329141.1		hypothetical protein			EYE35_RS13890	555	184	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2807806	2808009	+							EYE35_RS13895	204		old_locus_tag=EYE35_13895
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2807806	2808009	+	WP_069332810.1	WP_069332810.1		DUF1737 domain-containing protein			EYE35_RS13895	204	67	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2808010	2809041	+							EYE35_RS13900	1032		old_locus_tag=EYE35_13900
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2808010	2809041	+	WP_137458356.1	WP_137458356.1		MaoC family dehydratase			EYE35_RS13900	1032	343	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2809253	2809636	+					sdhC		EYE35_RS13905	384		old_locus_tag=EYE35_13905
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2809253	2809636	+	WP_101328468.1	WP_101328468.1		succinate dehydrogenase, cytochrome b556 subunit	sdhC		EYE35_RS13905	384	127	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2809648	2810019	+							EYE35_RS13910	372		old_locus_tag=EYE35_13910
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2809648	2810019	+	WP_002721269.1	WP_002721269.1		succinate dehydrogenase			EYE35_RS13910	372	123	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2810031	2811833	+							EYE35_RS13915	1803		old_locus_tag=EYE35_13915
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2810031	2811833	+	WP_069332808.1	WP_069332808.1		succinate dehydrogenase flavoprotein subunit			EYE35_RS13915	1803	600	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2811833	2812153	+							EYE35_RS13920	321		old_locus_tag=EYE35_13920
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2811833	2812153	+	WP_069332807.1	WP_069332807.1		hypothetical protein			EYE35_RS13920	321	106	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2812157	2812435	+							EYE35_RS13925	279		old_locus_tag=EYE35_13925
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2812157	2812435	+	WP_069332806.1	WP_069332806.1		hypothetical protein			EYE35_RS13925	279	92	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2812454	2813233	+							EYE35_RS13930	780		old_locus_tag=EYE35_13930
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2812454	2813233	+	WP_137458357.1	WP_137458357.1		succinate dehydrogenase iron-sulfur subunit			EYE35_RS13930	780	259	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2813496	2813858	-							EYE35_RS13935	363		old_locus_tag=EYE35_13935
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2813496	2813858	-	WP_137458358.1	WP_137458358.1		hypothetical protein			EYE35_RS13935	363	120	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2813954	2814604	-							EYE35_RS13940	651		old_locus_tag=EYE35_13940
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2813954	2814604	-	WP_002721288.1	WP_002721288.1		GntR family transcriptional regulator			EYE35_RS13940	651	216	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2814637	2815323	-							EYE35_RS13945	687		old_locus_tag=EYE35_13945
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2814637	2815323	-	WP_137458359.1	WP_137458359.1		M48 family metallopeptidase			EYE35_RS13945	687	228	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2815480	2815815	+							EYE35_RS13950	336		old_locus_tag=EYE35_13950
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2815480	2815815	+	WP_069332804.1	WP_069332804.1		TIGR02300 family protein			EYE35_RS13950	336	111	
gene	tRNA	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2815934	2816009	+							EYE35_RS13955	76		old_locus_tag=EYE35_13955
tRNA		GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2815934	2816009	+				tRNA-Ala			EYE35_RS13955	76		anticodon=GGC
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2816280	2816534	+							EYE35_RS13960	255		old_locus_tag=EYE35_13960
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2816280	2816534	+	WP_137458360.1	WP_137458360.1		glycine zipper 2TM domain-containing protein			EYE35_RS13960	255	84	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2816603	2818303	-					ade		EYE35_RS13965	1701		old_locus_tag=EYE35_13965
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2816603	2818303	-	WP_137458361.1	WP_137458361.1		adenine deaminase	ade		EYE35_RS13965	1701	566	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2818473	2819393	+							EYE35_RS13970	921		old_locus_tag=EYE35_13970
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2818473	2819393	+	WP_115475779.1	WP_115475779.1		DMT family transporter			EYE35_RS13970	921	306	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2819390	2819986	-							EYE35_RS13975	597		old_locus_tag=EYE35_13975
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2819390	2819986	-	WP_137458362.1	WP_137458362.1		nucleoside/nucleotide kinase family protein			EYE35_RS13975	597	198	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2819983	2820759	-							EYE35_RS13980	777		old_locus_tag=EYE35_13980
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2819983	2820759	-	WP_069332799.1	WP_069332799.1		sugar ABC transporter ATP-binding protein			EYE35_RS13980	777	258	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2820759	2821850	-							EYE35_RS13985	1092		old_locus_tag=EYE35_13985
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2820759	2821850	-	WP_112329135.1	WP_112329135.1		ABC transporter permease			EYE35_RS13985	1092	363	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2822037	2823059	-							EYE35_RS13990	1023		old_locus_tag=EYE35_13990
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2822037	2823059	-	WP_137458363.1	WP_137458363.1		sugar ABC transporter substrate-binding protein			EYE35_RS13990	1023	340	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2823257	2824480	+							EYE35_RS13995	1224		old_locus_tag=EYE35_13995
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2823257	2824480	+	WP_137458364.1	WP_137458364.1		ROK family transcriptional regulator			EYE35_RS13995	1224	407	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2824606	2827455	+							EYE35_RS14000	2850		old_locus_tag=EYE35_14000
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2824606	2827455	+	WP_137458365.1	WP_137458365.1		monovalent cation/H+ antiporter subunit A			EYE35_RS14000	2850	949	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2827455	2827790	+							EYE35_RS14005	336		old_locus_tag=EYE35_14005
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2827455	2827790	+	WP_069332794.1	WP_069332794.1		Na+/H+ antiporter subunit C			EYE35_RS14005	336	111	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2827787	2829298	+							EYE35_RS14010	1512		old_locus_tag=EYE35_14010
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2827787	2829298	+	WP_137458366.1	WP_137458366.1		monovalent cation/H+ antiporter subunit D			EYE35_RS14010	1512	503	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2829295	2829786	+							EYE35_RS14015	492		old_locus_tag=EYE35_14015
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2829295	2829786	+	WP_069332792.1	WP_069332792.1		Na+/H+ antiporter subunit E			EYE35_RS14015	492	163	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2829783	2830052	+							EYE35_RS14020	270		old_locus_tag=EYE35_14020
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2829783	2830052	+	WP_002721312.1	WP_002721312.1		K+/H+ antiporter subunit F			EYE35_RS14020	270	89	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2830058	2830444	+							EYE35_RS14025	387		old_locus_tag=EYE35_14025
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2830058	2830444	+	WP_002721315.1	WP_002721315.1		Na+/H+ antiporter subunit G			EYE35_RS14025	387	128	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2830578	2831876	+							EYE35_RS14030	1299		old_locus_tag=EYE35_14030
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2830578	2831876	+	WP_112329129.1	WP_112329129.1		sodium:proton antiporter			EYE35_RS14030	1299	432	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2831929	2832483	-							EYE35_RS14035	555		old_locus_tag=EYE35_14035
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2831929	2832483	-	WP_002721317.1	WP_002721317.1		YqgE/AlgH family protein			EYE35_RS14035	555	184	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2832622	2833419	+							EYE35_RS14040	798		old_locus_tag=EYE35_14040
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2832622	2833419	+	WP_069332790.1	WP_069332790.1		hypothetical protein			EYE35_RS14040	798	265	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2833598	2834383	-							EYE35_RS14045	786		old_locus_tag=EYE35_14045
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2833598	2834383	-	WP_137458367.1	WP_137458367.1		uracil-DNA glycosylase			EYE35_RS14045	786	261	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2834500	2835462	+							EYE35_RS14050	963		old_locus_tag=EYE35_14050
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2834500	2835462	+	WP_002721320.1	WP_002721320.1		aspartate carbamoyltransferase			EYE35_RS14050	963	320	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2835459	2836736	+							EYE35_RS14055	1278		old_locus_tag=EYE35_14055
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2835459	2836736	+	WP_137458368.1	WP_137458368.1		dihydroorotase			EYE35_RS14055	1278	425	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2836961	2837566	+							EYE35_RS14060	606		old_locus_tag=EYE35_14060
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2836961	2837566	+	WP_009563048.1	WP_009563048.1		glycerol-3-phosphate 1-O-acyltransferase			EYE35_RS14060	606	201	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2837670	2839034	-							EYE35_RS14065	1365		old_locus_tag=EYE35_14065
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2837670	2839034	-	WP_137458369.1	WP_137458369.1		glutamate--cysteine ligase			EYE35_RS14065	1365	454	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2839087	2839653	-							EYE35_RS14070	567		old_locus_tag=EYE35_14070
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2839087	2839653	-	WP_137458370.1	WP_137458370.1		hypothetical protein			EYE35_RS14070	567	188	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2839650	2840423	-							EYE35_RS14075	774		old_locus_tag=EYE35_14075
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2839650	2840423	-	WP_137458371.1	WP_137458371.1		16S rRNA (uracil(1498)-N(3))-methyltransferase			EYE35_RS14075	774	257	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2840435	2841436	+							EYE35_RS14080	1002		old_locus_tag=EYE35_14080
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2840435	2841436	+	WP_137458372.1	WP_137458372.1		4-hydroxybenzoate octaprenyltransferase			EYE35_RS14080	1002	333	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2841506	2843464	+							EYE35_RS14085	1959		old_locus_tag=EYE35_14085
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2841506	2843464	+	WP_137458373.1	WP_137458373.1		OmpA family protein			EYE35_RS14085	1959	652	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2843592	2843915	+							EYE35_RS14090	324		old_locus_tag=EYE35_14090
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2843592	2843915	+	WP_015921396.1	WP_015921396.1		hypothetical protein			EYE35_RS14090	324	107	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2843902	2844756	-							EYE35_RS14095	855		old_locus_tag=EYE35_14095
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2843902	2844756	-	WP_137458374.1	WP_137458374.1		alpha/beta hydrolase			EYE35_RS14095	855	284	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2844843	2846321	+							EYE35_RS14100	1479		old_locus_tag=EYE35_14100
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2844843	2846321	+	WP_115475771.1	WP_115475771.1		NAD-dependent succinate-semialdehyde dehydrogenase			EYE35_RS14100	1479	492	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2846386	2847660	+							EYE35_RS14105	1275		old_locus_tag=EYE35_14105
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2846386	2847660	+	WP_101327370.1	WP_101327370.1		HlyC/CorC family transporter			EYE35_RS14105	1275	424	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2847703	2848242	+							EYE35_RS14110	540		old_locus_tag=EYE35_14110
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2847703	2848242	+	WP_137458375.1	WP_137458375.1		RNA polymerase sigma factor			EYE35_RS14110	540	179	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2848239	2850209	+							EYE35_RS14115	1971		old_locus_tag=EYE35_14115
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2848239	2850209	+	WP_137458376.1	WP_137458376.1		DUF3520 domain-containing protein			EYE35_RS14115	1971	656	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2850430	2850906	-							EYE35_RS14120	477		old_locus_tag=EYE35_14120
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2850430	2850906	-	WP_009563062.1	WP_009563062.1		Hsp20 family protein			EYE35_RS14120	477	158	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2851179	2851979	-							EYE35_RS14125	801		old_locus_tag=EYE35_14125
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2851179	2851979	-	WP_101327372.1	WP_101327372.1		trypsin-like serine protease			EYE35_RS14125	801	266	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2852031	2853332	-					glcF		EYE35_RS14130	1302		old_locus_tag=EYE35_14130
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2852031	2853332	-	WP_137458377.1	WP_137458377.1		glycolate oxidase subunit GlcF	glcF		EYE35_RS14130	1302	433	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2853345	2854421	-							EYE35_RS14135	1077		old_locus_tag=EYE35_14135
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2853345	2854421	-	WP_108223274.1	WP_108223274.1		FAD-binding protein			EYE35_RS14135	1077	358	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2854486	2855919	-							EYE35_RS14140	1434		old_locus_tag=EYE35_14140
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2854486	2855919	-	WP_137458378.1	WP_137458378.1		FAD-binding protein			EYE35_RS14140	1434	477	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2856000	2856755	+							EYE35_RS14145	756		old_locus_tag=EYE35_14145
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2856000	2856755	+	WP_137458627.1	WP_137458627.1		DUF599 domain-containing protein			EYE35_RS14145	756	251	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2856758	2858821	-							EYE35_RS14150	2064		old_locus_tag=EYE35_14150
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2856758	2858821	-	WP_137458379.1	WP_137458379.1		hypothetical protein			EYE35_RS14150	2064	687	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2858818	2861595	-							EYE35_RS14155	2778		old_locus_tag=EYE35_14155
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2858818	2861595	-	WP_137458380.1	WP_137458380.1		DUF4159 domain-containing protein			EYE35_RS14155	2778	925	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2861595	2862467	-							EYE35_RS14160	873		old_locus_tag=EYE35_14160
